131/4202,f/JulianaFreire,47
131/4202,31/3455,66
131/4202,94/2372,28
131/4202,f/MJFranklin,169
131/4202,a/PAtzeni,3
131/4202,97/5585,29
131/4202,a/GustavoAlonso,30
131/4202,49/6363,13
131/4202,95/9990,10
131/4202,w/RaymondChiWingWong,9
131/4202,131/6529-1,70
131/4202,c/ShiminChen,2
131/4202,24/8510,80
131/4202,o/MTamerOzsu,43
131/4202,y/JXuYu,29
131/4202,04/7892,7
131/4202,k/BKonigRies,6
131/4202,o/MouradOuzzani,209
131/4202,98/5766-1,2
131/4202,c/SurajitChaudhuri,65
131/4202,135/7623,2
131/4202,37/3024,39
131/4202,s/IonStoica,67
131/4202,m/SamuelMadden,286
131/4202,a/AmrElAbbadi,12
131/4202,s/MichaelStonebraker,278
131/4202,218/5225,4
131/4202,40/7459,51
131/4202,k/ChristophKoch,11
131/4202,25/6583,76
131/4202,164/1401,13
131/4202,v/AthenaVakali,6
131/4202,14/6896,8
131/4202,a/ArvindArasu,13
131/4202,r/KARoss,12
131/4202,w/WeiWang11,6
131/4202,a/DivyakantAgrawal,48
131/4202,m/SharadMehrotra,37
131/4202,d/AmolDeshpande,89
131/4202,163/0449,6
131/4202,l/ChenLi1,2
131/4202,241/7225,7
131/4202,t/ArashTermehchy,3
131/4202,87/10957,15
131/4202,122/5424-2,12
131/4202,81/10470,27
131/4202,r/ERahm,12
131/4202,m/TovaMilo,58
131/4202,60/2319,11
131/4202,56/2998-1,17
131/4202,76/1735,4
131/4202,74/3195,11
131/4202,g/DimitriosGunopulos,15
131/4202,v/VVassalos,7
131/4202,y/XifengYan,4
131/4202,t/PeterTriantafillou,2
131/4202,04/10606,27
131/4202,01/5237,5
131/4202,07/11533,27
131/4202,189/2405,28
131/4202,66/9726,33
131/4202,97/919-1,28
131/4202,28/1062,5
131/4202,w/GerhardWeikum,44
131/4202,152/4895,10
131/4202,180/5761,35
131/4202,45/1559,44
131/4202,20/6977-1,3
131/4202,l/GuoliangLi,191
131/4202,r/MirekRiedewald,21
131/4202,89/6502,21
131/4202,183/8663,5
131/4202,02/4973,2
131/4202,136/7969,21
131/4202,m/IoanaManolescu,2
131/4202,155/5478,31
131/4202,54/6752,2
131/4202,69/3405-1,21
131/4202,40/3179,16
131/4202,172/9415,4
131/4202,181/7644,28
131/4202,16/8981,12
131/4202,p/JMPetit,6
131/4202,s/KaiUweSattler,4
131/4202,99/6349,60
131/4202,14/7259,11
131/4202,s/DanSuciu,47
131/4202,t/WangChiewTan,9
131/4202,k/BettinaKemme,11
131/4202,67/1328-10,23
131/4202,01/7213,25
131/4202,166/8411,11
131/4202,49/6395,34
131/4202,142/7802,4
131/4202,168/0294,19
131/4202,168/9023,18
131/4202,51/11411,50
131/4202,12/2633-6,11
131/4202,72/1077,3
131/4202,l/ALabrinidis,21
131/4202,75/3108,7
131/4202,p/YPapakonstantinou,2
131/4202,97/9726,6
131/4202,w/WeiWang,2
131/4202,154/0932,11
131/4202,p/TorbenBachPedersen,4
131/4202,151/8293,52
131/4202,167/2106,11
131/4202,a/DJAbadi,80
131/4202,23/2460,2
131/4202,57/7247,15
131/4202,150/7163,4
131/4202,87/8324,10
131/4202,48/1294-7,7
131/4202,22/835-1,2
131/4202,43/6576,70
131/4202,47/3542-1,65
131/4202,d/AnHaiDoan,79
131/4202,09/6353,104
131/4202,36/2133,66
131/4202,45/2495,31
131/4202,27/2143,20
131/4202,01/3996,59
131/4202,57/7259,12
131/4202,t/CaetanoTrainaJr,6
131/4202,51/6689,3
131/4202,m/AtsuyukiMorishima,2
131/4202,a/AnastassiaAilamaki,59
131/4202,46/3522,3
131/4202,04/1835,14
131/4202,c/CarloCurino,34
131/4202,09/404-1,12
131/4202,r/ChristopherRe,68
131/4202,03/6105,17
131/4202,54/1720,6
131/4202,s/DiveshSrivastava,29
131/4202,r/EARundensteiner,39
131/4202,m/EssamMansour,92
131/4202,o/FatmaOzcan,60
131/4202,81/10578,5
131/4202,30/4308-1,21
131/4202,o/BengChinOoi,56
131/4202,m/AMachanavajjhala,10
131/4202,127/6195,8
131/4202,93/4303,2
131/4202,07/1560,10
131/4202,48/2626-1,17
131/4202,g/FlorisGeerts,18
131/4202,85/9079,4
131/4202,02/3658,17
131/4202,i/IhabFIlyas,185
131/4202,m/HeikoMuller,8
131/4202,50/5895,8
131/4202,08/3969,49
131/4202,c/IFCruz,17
131/4202,p/JMPatel,44
131/4202,w/HaixunWang,27
131/4202,d/XinLunaDong,33
131/4202,b/MagdalenaBalazinska,76
131/4202,t/MartinTheobald,7
131/4202,s/MohamedASharaf,15
131/4202,47/8816,59
131/4202,147/1198,46
131/4202,82/231,66
131/4202,98/3414-1,6
131/4202,b/SrikantaJBedathur,6
131/4202,39/7183,122
131/4202,l/LVSLakshmanan,2
131/4202,j/HVJagadish,47
131/4202,g/JonathanGoldstein,31
131/4202,42/3296,28
131/4202,02/6087,31
131/4202,78/4413,64
131/4202,c/LeiChen0002,8
131/4202,h/OktieHassanzadeh,28
131/4202,r/MatthiasRenz,6
131/4202,08/5342,5
131/4202,a/PankajKAgarwal,2
131/4202,m/SergeyMelnik,24
131/4202,82/4089,2
131/4202,a/SihemAmerYahia,25
131/4202,71/5974,13
131/4202,26/6037,176
131/4202,00/7739,11
131/4202,27/3375,2
131/4202,86/9726,4
131/4202,89/2619,4
131/4202,w/StevenEuijongWhang,15
131/4202,p/PaoloPapotti,134
131/4202,t/NesimeTatbul,110
131/4202,n/ThomasNeumann,44
131/4202,75/5478,3
131/4202,25/2228,28
131/4202,89/6325,15
131/4202,94/5893,44
131/4202,l/UlfLeser,19
131/4202,88/9060,4
131/4202,r/VijayshankarRaman,26
131/4202,l/LinXuemin,2
131/4202,t/YufeiTao,8
131/4202,65/1457,32
131/4202,58/4127,73
131/4202,n/FelixNaumann,82
131/4202,m/RJMiller,19
131/4202,01/5394-1,10
131/4202,08/7259,10
131/4202,z/XiaofangZhou,23
131/4202,a/WGAref,87
131/4202,37/3868,2
131/4202,38/8707,126
131/4202,g/JohannesGehrke,73
131/4202,20/3716,7
131/4202,66/6919,14
131/4202,99/5856,3
131/4202,20/4833,4
